time,open,high,low,close,Volume,ATR
1698434100,344.76,345.2,344.715,344.94,76905,0.6508897913419255
1698434400,344.93,345.09,344.57,344.9,91511,0.6415405205317867
1698434700,344.9,345.31,344.9,345.2,174216,0.6250019119223751
1698435000,345.21,345.455,344.67,344.74,193867,0.6364303467850603
1698435300,344.745,344.76,344.18,344.21,124545,0.6323996077289834
1698435600,344.215,344.65,344.08,344.195,162662,0.6279424928911983
1698435900,344.21,344.68,344.19,344.67,183626,0.6180894576846848
1698436200,344.67,345,344.43,344.895,310014,0.6146544964214925
1698436500,344.88,345.57,344.79,345.41,461231,0.6264648895342412
1698672600,347.83,348.6,347.11,348.58,266097,0.8095745402817952
1698672900,348.6,349.34,348.29,349.3,183627,0.8267477874045209
1698673200,349.33,349.58,349.07,349.51,169129,0.8041229454470545
1698673500,349.6,350.36,349.56,350.22,207469,0.8073998779151237
1698673800,350.21,350.54,349.95,350.06,177501,0.7918713152069028
1698674100,350.06,350.43,349.72,349.89,176271,0.786023364120694
1698674400,349.92,350.09,349.02,349.18,248227,0.8063074095406438
1698674700,349.2,349.88,349.01,349.65,165879,0.8108568802877409
1698675000,349.64,349.78,348.85,348.96,127986,0.8193671031243274
1698675300,348.96,349.01,347.66,347.85,217917,0.8572694529011587
1698675600,347.85,347.89,347.16,347.47,169119,0.8481787776939304
1698675900,347.43,347.59,347.03,347.29,191515,0.8275945792872212
1698676200,347.27,347.29,346.85,347.2,157581,0.7999092521952768
1698676500,347.21,347.56,346.99,347.1,133613,0.7834871627527564
1698676800,347.14,347.51,346.57,346.59,116825,0.7946666511275594
1698677100,346.59,347.38,346.45,347.17,130184,0.8043333189041627
1698677400,347.12,347.98,347.03,347.79,117424,0.814738081839583
1698677700,347.8,347.82,347.14,347.28,73578,0.805113933136756
1698678000,347.37,348.42,347.35,348.25,104976,0.8290343664841338
1698678300,348.28,348.57,348.1,348.27,79263,0.8033890545924078
1698678600,348.26,348.62,347.74,347.755,93825,0.8088612649786641
1698678900,347.74,347.83,347.56,347.76,65472,0.7703711746230439
1698679200,347.8,347.98,346.82,347.05,92976,0.798201805007114
1698679500,347.04,347.28,346.88,347.27,73351,0.7697588189351757
1698679800,347.28,347.82,347.24,347.78,125892,0.756204617582662
1698680100,347.81,348.22,347.31,347.33,72785,0.767190002041045
1698680400,347.31,347.67,347.155,347.63,54372,0.7491764304666877
1698680700,347.63,347.83,347.46,347.75,47616,0.7220923997190675
1698681000,347.81,348.38,347.64,348.275,48232,0.723371514024849
1698681300,348.29,348.64,348.08,348.57,61041,0.7117021201659314
1698681600,348.56,348.66,348.34,348.5,76120,0.6837233972969399
1698681900,348.5,348.56,347.91,348.15,40429,0.6813145832042997
1698682200,348.18,348.63,348.12,348.41,54960,0.6690778272611348
1698682500,348.43,348.65,347.745,347.85,53824,0.6859294110281946
1698682800,347.85,347.88,347.47,347.58,84796,0.6662201673833213
1698683100,347.62,347.78,347.36,347.43,78448,0.6486330125702241
1698683400,347.42,347.82,347.37,347.7,54075,0.6344449402437787
1698683700,347.73,347.99,347.4,347.43,57861,0.6312703016549397
1698684000,347.41,347.53,346.76,346.86,76480,0.6411795658224426
1698684300,346.85,347.1,346.55,347.09,99171,0.634666739692269
1698684600,347.075,347.32,346.75,346.77,71180,0.6300476868571065
1698684900,346.79,347.04,346.55,347.02,105685,0.6200442806530282
1698685200,347.02,347.24,346.8,347.14,69909,0.6071839748920975
1698685500,347.14,347.42,347.1,347.37,52469,0.5866708338283758
1698685800,347.325,347.45,347,347.11,46510,0.5769086314120625
